,Time,Weight
3.54,3.54,4.55
3.55,3.55,4.55
3.56,3.56,4.55
3.57,3.57,4.55
3.58,3.58,4.55
3.59,3.59,4.55
3.6,3.6,4.55
3.61,3.61,4.55
3.62,3.62,4.55
3.63,3.63,4.55
3.64,3.64,4.55
3.65,3.65,4.55
3.66,3.66,4.55
3.67,3.67,4.55
3.68,3.68,4.55
3.69,3.69,4.55
3.7,3.7,4.55
